EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 12-06-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
0.1mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SANTIAGO DE COMPOSTELA/LABACOLLA, SPAIN (STAID: 1394)
Blended and updated with sources:19729 908042 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   RR, Q_RR
  1394, 19729,19441122,   50,    0
  1394, 19729,19441123,  125,    0
  1394, 19729,19441124,  560,    0
  1394, 19729,19441125,  143,    0
  1394, 19729,19441126,    0,    0
  1394, 19729,19441127,    0,    0
  1394, 19729,19441128,    0,    0
  1394, 19729,19441129,  215,    0
  1394, 19729,19441130,    0,    0
  1394, 19729,19441201,    0,    0
  1394, 19729,19441202,    0,    0
  1394, 19729,19441203,    0,    0
  1394, 19729,19441204,    0,    0
  1394, 19729,19441205,    0,    0
  1394, 19729,19441206,  140,    0
  1394, 19729,19441207,  270,    0
  1394, 19729,19441208,   90,    0
  1394, 19729,19441209,  170,    0
  1394, 19729,19441210,  600,    0
  1394, 19729,19441211,  135,    0
  1394, 19729,19441212,    0,    0
  1394, 19729,19441213,    0,    0
  1394, 19729,19441214,    0,    0
  1394, 19729,19441215,   25,    0
  1394, 19729,19441216,   40,    0
  1394, 19729,19441217,  420,    0
  1394, 19729,19441218,  120,    0
  1394, 19729,19441219,    0,    0
  1394, 19729,19441220,    0,    0
  1394, 19729,19441221,    0,    0
  1394, 19729,19441222,    0,    0
  1394, 19729,19441223,    0,    0
  1394, 19729,19441224,    0,    0
  1394, 19729,19441225,   30,    0
  1394, 19729,19441226,    0,    0
  1394, 19729,19441227,    0,    0
  1394, 19729,19441228,    0,    0
  1394, 19729,19441229,    0,    0
  1394, 19729,19441230,    0,    0
  1394, 19729,19441231,    0,    0
  1394, 19729,19450101,    0,    0
  1394, 19729,19450102,    0,    0
  1394, 19729,19450103,    0,    0
  1394, 19729,19450104,    0,    0
  1394, 19729,19450105,   25,    0
  1394, 19729,19450106,    0,    0
  1394, 19729,19450107,    0,    0
  1394, 19729,19450108,   30,    0
  1394, 19729,19450109,  470,    0
  1394, 19729,19450110,   60,    0
  1394, 19729,19450111,   60,    0
  1394, 19729,19450112,   50,    0
  1394, 19729,19450113,    0,    0
  1394, 19729,19450114,    0,    0
  1394, 19729,19450115,   80,    0
  1394, 19729,19450116,   30,    0
  1394, 19729,19450117,    0,    0
  1394, 19729,19450118,    0,    0
  1394, 19729,19450119,   90,    0
  1394, 19729,19450120,    0,    0
  1394, 19729,19450121,   30,    0
  1394, 19729,19450122,    0,    0
  1394, 19729,19450123,  530,    0
  1394, 19729,19450124,   30,    0
  1394, 19729,19450125,  320,    0
  1394, 19729,19450126,  280,    0
  1394, 19729,19450127,    0,    0
  1394, 19729,19450128,  150,    0
  1394, 19729,19450129,  400,    0
  1394, 19729,19450130,    0,    0
  1394, 19729,19450131,    0,    0
  1394, 19729,19450201,   90,    0
  1394, 19729,19450202,  120,    0
  1394, 19729,19450203,    0,    0
  1394, 19729,19450204,    0,    0
  1394, 19729,19450205,    0,    0
  1394, 19729,19450206,  150,    0
  1394, 19729,19450207,    0,    0
  1394, 19729,19450208,    0,    0
  1394, 19729,19450209,    0,    0
  1394, 19729,19450210,    0,    0
  1394, 19729,19450211,    0,    0
  1394, 19729,19450212,  290,    0
  1394, 19729,19450213,    0,    0
  1394, 19729,19450214,    0,    0
  1394, 19729,19450215,    0,    0
  1394, 19729,19450216,    0,    0
  1394, 19729,19450217,   30,    0
  1394, 19729,19450218,    0,    0
  1394, 19729,19450219,    0,    0
  1394, 19729,19450220,    0,    0
  1394, 19729,19450221,    0,    0
  1394, 19729,19450222,    0,    0
  1394, 19729,19450223,    0,    0
  1394, 19729,19450224,    0,    0
  1394, 19729,19450225,    0,    0
  1394, 19729,19450226,    0,    0
  1394, 19729,19450227,    0,    0
  1394, 19729,19450228,    0,    0
  1394, 19729,19450301,    0,    0
  1394, 19729,19450302,    0,    0
  1394, 19729,19450303,    0,    0
  1394, 19729,19450304,    0,    0
  1394, 19729,19450305,    0,    0
  1394, 19729,19450306,    0,    0
  1394, 19729,19450307,    0,    0
  1394, 19729,19450308,    0,    0
  1394, 19729,19450309,    0,    0
  1394, 19729,19450310,    0,    0
  1394, 19729,19450311,    0,    0
  1394, 19729,19450312,    0,    0
  1394, 19729,19450313,    0,    0
  1394, 19729,19450314,    0,    0
  1394, 19729,19450315,    0,    0
  1394, 19729,19450316,  140,    0
  1394, 19729,19450317,    0,    0
  1394, 19729,19450318,    0,    0
  1394, 19729,19450319,    0,    0
  1394, 19729,19450320,    0,    0
  1394, 19729,19450321,    0,    0
  1394, 19729,19450322,    0,    0
  1394, 19729,19450323,    0,    0
  1394, 19729,19450324,  145,    0
  1394, 19729,19450325,  115,    0
  1394, 19729,19450326,    0,    0
  1394, 19729,19450327,    0,    0
  1394, 19729,19450328,   50,    0
  1394, 19729,19450329,    0,    0
  1394, 19729,19450330,    7,    0
  1394, 19729,19450331,   35,    0
  1394, 19729,19450401,    0,    0
  1394, 19729,19450402,   50,    0
  1394, 19729,19450403,   95,    0
  1394, 19729,19450404,    0,    0
  1394, 19729,19450405,    0,    0
  1394, 19729,19450406,    0,    0
  1394, 19729,19450407,    0,    0
  1394, 19729,19450408,    0,    0
  1394, 19729,19450409,    0,    0
  1394, 19729,19450410,   35,    0
  1394, 19729,19450411,  190,    0
  1394, 19729,19450412,   75,    0
  1394, 19729,19450413,    0,    0
  1394, 19729,19450414,    6,    0
  1394, 19729,19450415,    0,    0
  1394, 19729,19450416,    0,    0
  1394, 19729,19450417,    0,    0
  1394, 19729,19450418,    0,    0
  1394, 19729,19450419,    6,    0
  1394, 19729,19450420,    0,    0
  1394, 19729,19450421,    0,    0
  1394, 19729,19450422,    0,    0
  1394, 19729,19450423,    0,    0
  1394, 19729,19450424,    0,    0
  1394, 19729,19450425,  200,    0
  1394, 19729,19450426,  216,    0
  1394, 19729,19450427,   41,    0
  1394, 19729,19450428,    0,    0
  1394, 19729,19450429,    0,    0
  1394, 19729,19450430,    0,    0
  1394, 19729,19450501,    0,    0
  1394, 19729,19450502,    0,    0
  1394, 19729,19450503,    0,    0
  1394, 19729,19450504,    0,    0
  1394, 19729,19450505,    0,    0
  1394, 19729,19450506,    0,    0
  1394, 19729,19450507,    0,    0
  1394, 19729,19450508,    0,    0
  1394, 19729,19450509,  136,    0
  1394, 19729,19450510,    0,    0
  1394, 19729,19450511,    0,    0
  1394, 19729,19450512,  170,    0
  1394, 19729,19450513,   40,    0
  1394, 19729,19450514,    0,    0
  1394, 19729,19450515,   12,    0
  1394, 19729,19450516,    2,    0
  1394, 19729,19450517,   10,    0
  1394, 19729,19450518,    5,    0
  1394, 19729,19450519,    0,    0
  1394, 19729,19450520,  365,    0
  1394, 19729,19450521,  195,    0
  1394, 19729,19450522,  120,    0
  1394, 19729,19450523,  102,    0
  1394, 19729,19450524,   12,    0
  1394, 19729,19450525,    0,    0
  1394, 19729,19450526,    0,    0
  1394, 19729,19450527,    0,    0
  1394, 19729,19450528,  155,    0
  1394, 19729,19450529,  207,    0
  1394, 19729,19450530,   55,    0
  1394, 19729,19450531,    0,    0
  1394, 19729,19450601,    0,    0
  1394, 19729,19450602,    0,    0
  1394, 19729,19450603,    0,    0
  1394, 19729,19450604,    0,    0
  1394, 19729,19450605,    0,    0
  1394, 19729,19450606,    0,    0
  1394, 19729,19450607,   75,    0
  1394, 19729,19450608,   20,    0
  1394, 19729,19450609,    0,    0
  1394, 19729,19450610,    0,    0
  1394, 19729,19450611,    0,    0
  1394, 19729,19450612,    0,    0
  1394, 19729,19450613,    0,    0
  1394, 19729,19450614,    0,    0
  1394, 19729,19450615,    0,    0
  1394, 19729,19450616,    0,    0
  1394, 19729,19450617,    0,    0
  1394, 19729,19450618,   43,    0
  1394, 19729,19450619,   25,    0
  1394, 19729,19450620,  122,    0
  1394, 19729,19450621,    0,    0
  1394, 19729,19450622,    0,    0
  1394, 19729,19450623,    0,    0
  1394, 19729,19450624,    0,    0
  1394, 19729,19450625,    0,    0
  1394, 19729,19450626,    0,    0
  1394, 19729,19450627,    0,    0
  1394, 19729,19450628,    0,    0
  1394, 19729,19450629,    0,    0
  1394, 19729,19450630,    0,    0
  1394, 19729,19450701,    0,    0
  1394, 19729,19450702,    0,    0
  1394, 19729,19450703,    0,    0
  1394, 19729,19450704,    0,    0
  1394, 19729,19450705,   10,    0
  1394, 19729,19450706,    0,    0
  1394, 19729,19450707,    0,    0
  1394, 19729,19450708,    0,    0
  1394, 19729,19450709,    0,    0
  1394, 19729,19450710,   94,    0
  1394, 19729,19450711,    0,    0
  1394, 19729,19450712,    0,    0
  1394, 19729,19450713,    0,    0
  1394, 19729,19450714,   15,    0
  1394, 19729,19450715,  105,    0
  1394, 19729,19450716,    0,    0
  1394, 19729,19450717,    0,    0
  1394, 19729,19450718,    0,    0
  1394, 19729,19450719,  105,    0
  1394, 19729,19450720,   15,    0
  1394, 19729,19450721,    0,    0
  1394, 19729,19450722,    0,    0
  1394, 19729,19450723,    0,    0
  1394, 19729,19450724,    0,    0
  1394, 19729,19450725,    0,    0
  1394, 19729,19450726,    6,    0
  1394, 19729,19450727,    0,    0
  1394, 19729,19450728,    0,    0
  1394, 19729,19450729,    0,    0
  1394, 19729,19450730,    0,    0
  1394, 19729,19450731,    0,    0
  1394, 19729,19450801,    0,    0
  1394, 19729,19450802,    0,    0
  1394, 19729,19450803,    0,    0
  1394, 19729,19450804,    0,    0
  1394, 19729,19450805,    0,    0
  1394, 19729,19450806,    0,    0
  1394, 19729,19450807,    0,    0
  1394, 19729,19450808,    0,    0
  1394, 19729,19450809,    2,    0
  1394, 19729,19450810,    6,    0
  1394, 19729,19450811,    0,    0
  1394, 19729,19450812,    0,    0
  1394, 19729,19450813,   15,    0
  1394, 19729,19450814,   12,    0
  1394, 19729,19450815,    0,    0
  1394, 19729,19450816,    3,    0
  1394, 19729,19450817,    0,    0
  1394, 19729,19450818,   37,    0
  1394, 19729,19450819,  170,    0
  1394, 19729,19450820,   45,    0
  1394, 19729,19450821,   40,    0
  1394, 19729,19450822,  135,    0
  1394, 19729,19450823,    0,    0
  1394, 19729,19450824,    0,    0
  1394, 19729,19450825,    0,    0
